	A010	A013	A020	A023	A028	A038	A039	A052	A058	A063	A067	A069	A079	A083	A089	A094	A103	A110	A114	A124	D010	D016	D026	D043	D046	D048	D058	D063	D068	D072	D081	E009	E017	E020	E026	E030	N041	Y006	Y012	Y014	Y015	Y021	Y025	Y030	Y034	Y036	B005	B010	B012	B023	B026	B030	B035	B039	B042	B047	B050	B053	B056	B058	B063	B071	B078	B084	B092	B098	B100	C005	C010	C012	C021	C027	C033	C045	C051	C056	C061	C065	C068	G009	G027	X007	X011	X014	X018	X024	X027	X031	X034	X039	X044	X047	X049	X051	X052	X055	X057	X059	X065	X069
FDSW202612101-1r_S20201215-0031_C056_bin.63.filtered	2517.952823	2667.405094	3599.195994	625.4426236	1112.650235	8099.763874	4005.008674	2345.087991	2733.030673	3390.606961	3065.504961	1458.143335	1474.463241	385.1091661	345.6180342	735.6293417	856.5014762	482.5514151	521.0219763	394.2060362	1916.721841	3332.28344	2646.223119	1050.308327	613.4926726	665.8458049	1238.513849	1548.048749	1653.419176	1037.910138	766.0165418	1270.828897	1014.021307	1252.067384	302.3324469	770.5414057	1276.565991	941.3759596	937.5068695	469.500612	329.5861917	528.8628786	761.2604179	1121.215785	685.5482447	288.7085403	2248.958808	1054.506356	112.70875	174.4088417	95.43104433	340.3793454	301.4691469	198.6640567	396.3613254	290.7620526	1010.126921	1431.340232	1899.112338	933.192734	1525.174234	289.1425762	582.7272468	226.9710154	326.4815664	316.9756802	145.7910375	316.4448361	344.4822189	1010.517277	1635.377658	563.2209338	684.9628603	147.3067922	283.9907243	369.3428817	3634.717777	113.9058946	435.0262523	234.6378049	383.970748	463.8093001	1727.262944	569.8160192	1117.289428	162.9784177	255.2665549	390.3127315	299.346754	236.8376542	187.3296076	144.4862511	238.7995865	112.0474066	234.2875588	677.4562141	318.1429157	183.7577187	416.8424554	373.6851448
FDSW202612051-1r_S20201210-0005_X049_bin.30.filtered	757.4038052	820.9544789	828.932216	1827.28199	2081.675473	1980.614754	1336.468773	1430.615631	2924.473926	1884.753898	1052.699402	1533.669273	480.942227	934.1698292	1066.630996	1060.839929	1001.581338	3635.558064	2528.490934	1039.949715	1117.852363	2005.983645	694.7208358	136.044667	1230.584201	718.7719482	325.7890657	508.3822117	423.6373422	2337.237171	909.3100426	1131.892629	144.054224	3248.241982	522.7337764	1190.649173	2194.513394	2806.44908	2812.946339	2673.874349	1248.476786	2391.117438	3516.929535	2915.902992	3481.965917	1964.531925	12404.77974	8400.689349	1839.461613	4513.817689	2995.327155	9473.597917	5598.728638	4467.391338	3767.045628	1020.408756	714.1350799	1466.601104	1925.567303	2006.016933	1823.713264	1773.497714	4317.979222	1302.463074	1012.9012	1025.76128	467.2751989	1473.212702	300.678069	433.0567686	10767.26404	4603.930017	5174.385788	1332.954807	19630.28511	895.4196388	4954.649463	23211.1205	7157.304653	2327.190151	9997.107516	5107.261673	10903.79475	1896.886413	1360.645907	5687.055938	1587.434519	2557.491872	1301.265967	676.3842162	311.5890177	1494.68836	8798.900765	2567.02541	1247.060356	662.6716747	2302.593759	1420.585278	1767.265636	6403.681928
FDSW202612060-1r_S20201215-0016_A058_bin.64.filtered	893.0611907	1139.461821	773.2660995	158.0759801	1442.108588	1389.831095	1097.6557	1101.994636	2143.782212	1223.081441	1978.100452	1100.44866	866.9155901	1290.323289	1269.852851	1265.447443	230.2720163	485.3370917	401.4192407	321.6792414	1049.026958	2488.081946	982.153094	191.9525297	597.4449768	743.1861053	485.2757716	831.6533434	663.7285848	3250.050712	852.0313244	1204.905586	119.6209107	2685.176864	532.1281874	1179.594271	1049.351212	1978.342816	1695.796201	1967.214973	1418.173827	1606.233791	2303.049611	3885.621992	3801.43728	2372.910592	1874.209247	1384.720938	647.3508429	7798.379735	568.917201	888.1510945	2862.30893	1657.005473	2637.520315	325.3228017	217.0701122	313.8423037	253.0415003	153.548642	210.918176	348.6859858	277.1760946	49.57985024	149.182384	361.2423678	80.08628582	286.3598409	184.2304639	257.9166547	5615.679298	2578.415482	1613.364734	242.0579161	2592.022709	409.3250643	820.0180152	811.95283	1235.472746	171.3659251	1504.240642	2048.147624	3390.819951	925.5003592	368.3108494	826.8279367	589.3776904	673.5355226	561.0999417	422.5976567	126.1968316	87.30205105	632.1616376	349.4006528	819.3882636	184.6292007	1000.493503	883.1549127	228.2450945	624.5638653
FDSW202612050-1r_S20201210-0004_C068_bin.137.filtered	450.9429339	411.6956882	205.5816609	184.1077385	232.5617816	888.4464121	654.3586422	556.6998927	5671.872764	1093.435554	304.1972423	119.5745299	356.3825683	109.8852865	82.92687046	218.2904515	820.3926312	391.6206592	323.2885954	261.8777306	274.3948508	235.9526357	736.1552527	417.7826645	406.7345202	1006.367449	578.0157828	153.2364564	206.1678332	265.6254349	154.8850091	621.1573912	1293.484024	1158.236243	542.4691013	842.0835164	391.5261864	172.9718171	318.4848406	129.0685204	229.8217172	141.060526	196.9116742	428.5876689	973.603531	607.0247052	884.6518312	314.4957282	362.4909342	58.34906511	53.02845966	1128.681469	743.6888927	256.7713665	227.7052999	263.347563	112.5341587	41.0586761	99.42548822	50.14625153	54.52813182	373.7347326	237.6033539	503.9723993	88.55161486	211.5061561	70.07817213	296.1073866	552.182648	484.1490849	743.8562716	431.9290125	507.682262	252.6339896	238.3293297	39.33198267	42.41571337	43.03067674	63.35597849	84.91949561	174.5508727	63.31520939	171.7598289	64.99837037	95.07288208	43.05536821	58.67650952	81.23930401	86.15815128	197.5907951	182.5484126	74.20613471	95.47776214	187.9194774	515.3549396	223.7952427	780.0848721	239.7340964	184.0903945	346.3231153
FDSW202612064-1r_S20201215-0018_A079_bin.41.filtered	1422.736256	367.0168612	561.9388109	275.8084135	139.624377	362.9610175	477.8657434	1170.653248	1624.200559	672.2893397	740.9714898	891.4431407	594.0633203	1044.999294	557.3314153	783.2878818	552.8018082	267.8062467	324.1823212	353.6515126	1638.869581	1451.427344	1618.757365	140.0422915	377.5331397	510.9224775	222.0149001	1328.51518	1140.594383	1420.349824	940.8579972	284.6095648	1031.640142	2151.593822	99.33044102	388.2619389	650.5589101	218.5974752	439.2240685	870.3734388	1086.152443	2317.043323	2943.980093	5089.251424	10425.99335	1630.755515	232.8625646	207.055245	271.4489121	15.98148585	7.92821504	64.62680903	85.55233984	12.1272553	40.11786222	7.979941026	16.80186124	17.06586559	23.39687433	23.66851828	11.46427058	32.3442293	30.9945406	62.42912936	33.84897911	46.65323534	22.30505404	32.5960344	7.73187144	39.16063859	39.2319897	40.6513281	74.43456891	27.25257423	35.29932669	9.443224806	9.823700495	6.417333822	7.128600835	110.6425295	114.9745555	50.69881671	165.4600748	91.39410819	170.8455459	55.77188172	39.66466616	44.83449211	51.455692	36.66746309	45.11589931	40.40865535	57.22995366	49.57292938	56.52795288	60.88581133	11.42304901	14.44344991	12.27334402	22.80060834
FDSW202612071-1r_S20201210-0014_A124_bin.77.filtered	1860.482217	2731.616945	1197.968437	110.1429408	8175.912494	9148.190489	4591.36142	12795.41981	15271.49472	8260.414735	7890.925042	6869.648837	5835.013339	3463.290799	7419.228275	7725.92228	1293.239605	3020.305034	2494.648339	2319.342355	7723.6166	5741.288766	1410.077839	563.6405096	2006.724649	1422.793838	1221.757851	7905.588374	6772.551902	16434.04382	5518.011322	6691.116516	1000.469507	13311.50338	4643.766748	10952.63837	1623.960122	11222.28363	8401.912124	722.5964902	1959.271715	2710.434376	5372.378966	9791.847747	8571.347227	2634.172477	438.3535725	346.1422138	171.001408	44.3834996	20.01978352	156.5099178	634.1468932	517.0523533	880.6173367	62.95253443	54.1738734	59.725967	44.18257766	22.33712675	33.90381922	46.67838083	43.22983505	16.09373013	50.14093385	46.56387318	19.44684547	145.5680827	25.40873492	73.65293852	2260.437128	530.3528348	513.37154	31.81271545	335.267334	54.51759621	98.5746849	173.5744897	156.0417159	55.05428169	464.2344734	351.6444474	852.1243373	528.7272172	136.1541487	198.6780826	88.5507245	84.39772156	171.331432	109.7733005	16.04908792	91.91951224	234.7441711	178.5005066	215.320208	30.59160095	137.9824813	135.6254743	38.98057692	149.3711878
FDSW202612095-1r_S20201216-0171_B084_bin.23.filtered	185.543092	376.3591051	327.2712936	81.57413533	54.14216584	342.5205539	309.6960639	512.2846549	223.1171458	192.1079416	268.5788628	127.9000703	250.9541377	212.0543727	164.0570566	232.2806219	41.51168626	40.46719934	39.85533619	27.76123196	720.3002671	1564.889727	204.3234804	56.69161342	259.3846498	174.3278614	53.82575702	241.533581	186.4051328	200.2736746	68.78783109	824.6978694	789.3484931	417.9929068	43.02110123	201.5088664	641.1910103	830.212139	282.2613442	353.2651248	609.1011153	251.2466716	98.85690074	212.5353365	486.3614071	142.8646739	3197.581097	906.4802154	186.824654	246.7877037	177.3577497	619.8085183	1166.789313	689.0965544	1686.740215	469.7032734	170.346662	218.1243176	66.47176361	69.92528964	15.94411964	88.88897882	23.83418049	16.82213451	107.1978052	50.78778502	1.284710468	185.733278	92.85898134	245.9851412	1609.630774	29.96365033	19.17777413	35.02248373	1.439635805	81.39375043	25.60185847	2.283408122	154.5472597	215.204656	489.5990584	474.9544998	1513.409267	314.4926404	211.0390897	79.54532869	63.77432273	159.4626079	143.1108629	156.2573519	70.76794909	88.09642627	101.5960046	28.2919431	51.91080764	208.900843	1096.227651	343.4369521	1850.066282	946.2254433
FDSW202612117-1r_S20201215-0044_X055_bin.83.filtered	6.91796587	17.89291241	59.52266534	12.3177278	8.126755547	42.30802232	52.24443427	112.0801593	10.08384591	4.718173544	66.17367258	0.783866171	89.70236132	12.70816135	6.564367393	15.16363239	0.934704538	0.286311553	0.312118703	0.088727018	17.36872106	10.88206384	10.19256904	6.974674038	13.29329129	9.247741611	9.979524733	3.435278826	15.5446638	8.771079778	8.345909065	4.569233511	5.533623741	4.346185648	10.28745369	6.310709619	24.5988552	1.155009567	0.548876539	5.28341519	7.214058853	10.78062051	5.616083036	6.217661967	11.20001561	2.482957114	15.6131835	6.583443633	7.958957228	6.952596764	6.224792709	25.79172853	46.46610704	23.98954075	19.8056765	1.604782289	9.26381522	3.109008894	7.45471991	5.377742634	11.65239972	2.702822487	0.873721316	0.977083431	0.881181065	2.214775573	1.631065577	1.509978452	0	5.847489496	2.30127373	26.73362318	19.08332129	2.937129124	0.304874931	6.220231166	3.139500501	0.494649886	1.289751284	1.098427164	4.658051814	25.9625385	44.66171874	27.15311724	10.33076525	2.286696906	7.959762929	7.364616875	2.896615824	4.00383031	7.147243507	10.59236226	23.99287134	3.098376822	8.318694994	11.98879175	15.26786168	15.95002035	4.063260367	11.1609109
FDSW202612085-1r_S20201215-0025_Y034_bin.71.filtered	292.5802666	249.7702594	72.91028204	100.2386028	17.73663874	35.32215786	53.42981185	236.6334719	33.75053512	63.11843916	211.7846408	39.0581776	170.2685391	62.58299587	84.09222741	207.6306442	668.1915137	378.5780003	293.5511778	229.8473866	60.6723852	31.98910441	159.6330448	298.3262301	198.9935669	218.4398872	399.8088031	475.2525392	85.02380915	45.37128106	140.4099512	104.9710281	47.24793536	33.56818653	79.43553546	79.68746909	328.2386023	61.8265658	45.19842573	69.40804139	64.70793981	23.9512432	58.96082752	67.92952081	19.01734047	36.20518222	1755.437735	103.0994414	111.2779179	525.02731	100.9153901	189.2808273	367.0249953	107.9327591	203.7606731	251.4842602	442.4457137	195.6873989	229.4199807	268.2905884	118.6471584	207.5081842	426.3591441	112.1787171	513.4383375	359.9768661	284.4987437	2159.732594	485.3739023	802.1306639	2200.338768	659.9199555	359.4378518	177.0765431	2451.850355	509.5254227	3194.326053	476.5278577	587.0872891	468.9156721	135.0450089	329.1423503	259.3962109	712.9353235	243.294	425.0672908	630.9488618	2619.327924	1045.544279	84.98575269	253.3213106	628.2213255	815.6521794	94.81932821	757.9454451	249.6868648	352.2019585	289.427556	206.9188261	269.3907259
FDSW202612059-1r_S20201215-0015_A052_bin.111.filtered	70.00794528	87.99351438	59.72676382	20.94514027	23.55843784	35.07383052	69.06213948	80.59787366	22.91894183	26.84213238	141.7644399	4.333820039	62.4787145	20.35749324	18.68237328	40.37643219	45.82254519	7.424183135	9.025137769	11.20407452	92.87183738	72.93316496	37.80032115	36.96459678	63.21504922	212.554379	47.16448088	41.17125294	44.57737693	50.67157423	112.0500817	110.0220019	100.7198939	81.62780174	110.0723005	37.74992526	130.2240483	439.431267	27.40766347	73.64380653	188.742891	72.82311635	59.13858672	53.97907128	34.26364975	14.36894113	8.461320552	3.91261281	7.51215427	13.98684329	8.098594057	23.23352682	52.35358332	24.11317942	15.86134573	3.034837385	3.952594277	1.129905807	2.033414761	1.138985887	1.131409221	2.020888617	1.525316256	0.650093884	3.480963322	1.811082097	1.868472591	0.921740283	1.164834157	3.523629819	1.958636466	8.151003055	4.633080073	3.672008212	4.410983124	8.898294431	36.22637274	13.81344722	2.592098061	1.762240009	6.016923963	2.03544323	6.854938819	5.590663942	2.91336573	7.207781425	8.474622702	11.40408505	11.87106551	7.144923087	25.25663149	8.382561903	16.70583587	5.227814568	16.32814431	27.39691972	47.55667883	36.8651921	43.70776	47.58074571
