	A010	A013	A020	A023	A028	A038	A039	A052	A058	A063	A067	A069	A079	A083	A089	A094	A103	A124	D010	D016	D026	D043	D048	D063	D068	D072	E009	E017	E020	E030	N041	Y006	Y012	Y014	Y021	Y025	Y030	Y034	Y036	B005	B010	B023	B026	B030	B035	B039	B042	B047	B050	B053	B056	B058	B063	B071	B078	B084	B092	B098	B100	C005	C010	C012	C021	C027	C033	C045	C051	C056	C061	C065	C068	G009	G027	X007	X011	X018	X024	X027	X031	X034	X039	X044	X049	X051	X052	X057	X059	X065	X069
FDSW202612052-1r_S20201215-0010_X052_bin.74.filtered	146.3148987	31.89339631	265.4354292	74.5337179	84.36083677	841.119805	37.57529381	102.5564838	96.33459501	107.6915736	1385.370771	76.96474807	20.78842866	48.27252175	47.76872945	66.76993053	6510.695191	172.0048431	260.9736609	2783.825938	2212.583771	534.9788623	22.00983634	9.78724816	81.51624842	79.55351628	47.15295406	69.04426046	45.83303629	124.9043529	15.23105674	85.78253572	382.7222013	182.8196118	58.42427055	1455.093763	545.9237443	558.8701017	329.5450488	443.6013318	245.5426716	77.66522476	146.9605449	82.00438562	109.2493259	67.06495323	74.81212686	99.04616902	1743.389354	66.5003404	2974.659746	1901.379065	15128.15558	34.15979202	734.4522939	541.8231338	489.0749695	404.9212641	317.4080949	127.7497618	694.7902844	44.06963092	1404.133552	524.0991446	285.3761098	276.7766249	43.0926914	181.7466229	99.43677645	469.5445485	204.4226241	212.8056914	343.9530624	557.9722873	445.1546965	3.49606974	68.43455252	131.495568	70.07472027	118.9237731	692.1183751	60.38500869	267.2080674	62.27393012	22.91992529	130.2500157	27.78472312	377.3614209	371.8098719
FDSW202612063-1r_S20201210-0008_A069_bin.115.filtered	27.96375647	20.78773874	54.15187255	32.93373381	72.36382012	117.200718	124.569004	49.90637286	287.784919	534.0255048	115.5426372	126.367073	94.30976769	31.35202125	82.65087395	101.2305133	52.95785825	54.61590901	419.675926	374.0920273	82.26743194	38.16883274	10.15612288	27.46088716	229.2453416	136.4983576	109.4840877	22.91099244	30.50306014	42.38134069	60.856145	99.56184325	184.5018939	387.1984061	273.6499373	236.7902556	192.53366	186.7604075	467.6005556	9.74668127	10.6791158	1.354730247	0.825411729	2.957909015	2.549729049	2.23778236	2.353426905	1.525269644	73.58680964	14.14899325	40.38537843	12.04984814	44.97463685	24.76490509	37.35901919	10.7003681	20.18845001	22.14013938	2.673852908	145.1738143	36.61107009	20.40097698	111.6241946	196.5633055	90.18041303	11.49903248	13.05545218	19.79412938	12.31072361	21.24635105	20.00058445	103.2577712	352.0584197	47.50833331	9.438603874	13.91648163	528.2610068	483.056196	151.6597948	166.0779445	2.610507658	30.22501409	14.88497231	62.01796377	70.69019356	8.607384807	98.09588787	4.894714508	2.136463513
FDSW202612071-1r_S20201210-0014_A124_bin.58.filtered	19373.32002	12645.88226	17594.23753	4067.637332	2582.865802	33150.77939	19073.58644	14866.33034	15181.82253	11723.77557	12817.52545	21989.5978	21714.88144	42944.61913	22985.90497	49565.52543	2833.196573	12791.90828	52768.29454	24717.86755	38770.88296	10206.41411	9546.850863	20176.33947	65378.81002	44989.16489	77010.97281	26078.79484	23001.15664	662.5599639	65752.92836	17973.60113	44781.22316	27606.34678	31127.24985	39347.74695	28032.46493	26980.98801	37006.58123	903.4360612	346.3000453	841.7280694	1503.898458	1258.673561	14076.67266	14450.6077	7069.252459	5625.308445	1584.90944	23284.17175	3094.949826	3944.961238	882.6985115	7253.318339	1219.938195	1559.906914	2121.294263	1031.196328	423.6221319	1427.788468	1143.392252	1371.557619	6503.944481	3206.944865	3021.857418	2684.527123	728.3478712	516.0681256	725.3914827	6001.144187	2760.241603	9988.320724	4436.21279	1348.845427	2302.647396	15256.48523	1367.696739	2150.365123	5574.040607	4039.337098	2888.878558	873.6086064	1794.307669	2007.026931	899.5633347	850.8119167	3545.015871	1698.217555	1439.898869
FDSW202612075-1r_S20201210-0016_E020_bin.50.filtered	1422.287901	625.5628676	4457.231376	7088.808964	3729.594184	2770.300753	1611.624486	1251.982068	5172.282707	6561.198905	1140.860009	3071.949101	2114.193371	2311.606096	1659.303293	2320.563261	5018.096808	4006.322242	3400.123721	3974.559139	931.2169218	1581.317993	198.3816346	624.4182772	2050.758134	1665.882824	2294.772464	503.7181172	870.633376	1227.460031	1474.131783	2410.202179	3976.962637	6350.734771	3798.115133	2065.373224	2502.719712	2530.011005	4436.799668	2152.93193	464.7085562	3643.848913	6642.273795	3136.053558	5480.029864	3051.047012	2602.968042	2833.584565	5887.935867	5708.774086	6151.139937	9210.85065	4842.534379	1084.947179	5055.934803	6316.93414	7775.495655	4236.252947	1508.449831	5063.525412	1490.11885	2387.103284	3568.773792	3269.329935	1780.312862	9205.658727	1770.327114	1340.617145	1264.929689	25445.39605	10656.46929	8718.671542	13423.81658	3820.198456	1724.681801	330.0217675	6395.950052	7700.142652	4843.588739	6757.337885	1056.353596	6982.01048	9496.543462	4633.782104	929.7723411	2600.727562	1434.958664	5721.784405	3835.022906
FDSW202612057-1r_S20201215-0013_A038_bin.201.filtered	617.8581805	30.40040624	157.6853175	325.6334785	782.0274979	199.3381908	108.2463882	78.37001649	879.1312443	1130.460716	133.0221029	78.20929701	196.6062554	152.8992958	53.09123402	56.29022	143.164438	209.0626949	299.1457839	334.4769733	77.89878075	111.7010545	29.34640574	54.57035152	82.3219961	118.9289316	203.1811405	28.58642574	124.0236522	42.95463391	26.33166941	397.1630569	315.7222175	482.5502388	683.3845923	594.2380309	253.0305869	280.9051362	1051.196464	97.13190099	28.26987269	268.9653837	298.7543174	87.52886199	248.1591	112.7440632	134.3434208	169.1697916	426.6430317	368.7796233	460.1278436	594.5213739	290.6768552	87.32615725	177.1321512	334.4144653	536.5991161	320.8632421	51.85486169	269.8841944	157.9064796	35.9330878	389.3087713	92.20203764	80.8105496	1462.749669	325.0764346	52.59843806	67.71983939	473.0416706	6342.990833	129.8385135	314.3364831	364.2312403	451.2754545	30.17717594	1823.193724	1355.969723	180.9938074	319.0236328	40.31238745	93.56485375	293.2706352	158.7877568	23.26289419	107.9917386	129.9118705	249.5298509	24.64449045
FDSW202612085-1r_S20201215-0025_Y034_bin.71.filtered	0	0.515440457	0.569434069	0.567273481	0	0.336561688	0	0	0	0.008583677	0	0.006212827	0	0	0	0.513775154	13.15867394	0.455162703	0.472057765	0.660162061	0	0.087947264	0	0	0	0.571808664	0.728422642	0.652718562	0.724683784	8.159444368	0.530087678	404.3738752	0.167628274	0.422676882	0.453184566	0.377211651	0.373647587	0.428904232	0.46300765	288.9995822	3.455401532	1.85876136	12.65873551	2.898620793	2.0074819	6.336909835	7.125558425	5.417125388	148.0504605	0.572211957	7.716465355	21.79136924	116.6304037	0.537637115	7.886387786	2.516246902	7.294418383	7.109534717	11.41446451	0.708152508	8.607815073	1.090003527	224.0420184	10.38752214	56.82926985	3.046872188	2.372365009	4.984122279	0.917033254	1.858786781	5.533391939	1.871610994	2.411399429	5.536864404	1.500900459	0.44289937	6.075096509	53.48991261	127.2370421	49.9213186	123.2984693	4.817555859	27.67374285	6.072429437	653.1432674	4.62966261	3.062623741	21.5912508	73.0831582
FDSW202612053-1b_S20201215-0011_X057_bin.49.filtered	5714.06058	666.2128255	5110.557842	9042.030697	8367.235371	3259.710047	661.7968399	1136.645112	5988.458139	7261.948415	591.9874836	3537.952058	3774.597749	3824.783016	1912.646219	2810.922332	3050.946836	13482.16653	2386.743361	1895.679042	1839.721019	1730.70953	349.1250658	2157.357054	571.4195342	3476.246809	2347.72703	431.2919561	1147.237333	1523.929465	888.804071	3717.14677	4609.46719	7756.686745	4916.671892	3207.318834	3986.769103	4760.051619	5194.813815	3316.034948	706.9537761	4097.656684	7557.925792	3700.359881	5571.622129	3099.83392	2732.213355	3213.978983	5214.466328	66653.71887	5382.982303	10328.16815	4013.325502	1234.930678	5117.932383	6800.354365	9619.806235	4703.07327	2775.746274	4039.693042	2946.264757	1529.324732	3818.972882	1470.681394	1640.757042	12906.4857	1954.210774	1344.232454	2142.221295	26060.88234	26191.56516	8192.392038	10381.03619	3845.545832	2387.478006	235.2219636	8288.589251	9448.018553	4095.268173	6875.652617	696.9279722	1880.097563	7029.956322	3266.894883	787.8177029	2069.625377	1405.966845	3624.003742	919.7954433
FDSW202612066-1r_S20201210-0010_A089_bin.53.filtered	1051.338949	1535.345629	19648.29683	17643.1431	4704.251216	2089.653901	1828.585377	2638.506298	3306.717154	2706.134212	183.1639938	6089.061454	1719.207465	4704.849333	1716.641621	3276.051032	13314.02954	4790.936368	1786.323965	501.2324964	294.59969	3191.457846	385.1425027	244.6824026	233.9584236	392.6095719	1556.03159	515.0326755	607.7402965	1179.299183	1952.512486	9075.727539	3050.232687	2573.852095	1434.377009	1478.99628	2660.600641	3416.552091	3024.070938	1207.273196	423.9934645	4679.028076	7506.624575	2567.050932	3734.254336	2351.188932	3281.284779	1882.229738	7217.72228	7442.340636	8182.083925	6701.345331	6904.806457	551.648548	4988.065808	5751.88737	12041.85702	7446.609506	3044.210243	2242.125944	1422.630366	403.9429396	1560.35342	679.2725581	1093.29897	7017.170721	854.8107119	1359.449526	1189.559404	20851.37779	7758.307818	6685.052808	13922.25249	2586.658939	867.0295648	196.8610129	4176.712178	7500.767174	4543.621854	5492.137589	115.6213443	1258.600936	6202.962272	3135.188114	12086.47834	1173.142303	1274.661694	2466.008196	564.7958098
FDSW202612098-1r_S20201215-0030_C005_bin.18.filtered	728.5846127	116.5468376	506.2654162	72.1856951	2868.990284	3165.096515	296.8503749	1285.158292	618.9718044	755.1474653	687.8834404	108.051419	1242.337602	49.58676556	79.62920283	221.8417452	115.5030566	468.4264937	7267.164196	10684.12611	1109.508933	6203.744108	29.84018165	214.1139857	203.4715949	208.2481344	1470.78649	1073.100705	2357.773193	87.88708877	1147.751322	8095.807187	3393.063379	7606.70983	2974.949389	4089.277274	9066.199601	10260.54864	2381.543203	195.5440359	68.33071109	1009.478772	2669.426152	97.81005233	258.3037439	176.2630417	307.930282	232.5744714	4331.755813	576.4473968	49.57500792	60.22078179	6372.116062	127.7038088	31.53596005	36.26947706	133.7010788	85.41165537	38.75090288	89.50464151	72.8069436	147.3781105	102.2527918	29.69519589	25.12655001	72.58085345	55.73941165	46.49065874	37.03065344	25.5771255	42.06356484	72.28685645	143.0801034	145.5325984	98.61555455	50.30366175	94.23052641	83.99757046	82.4985669	95.98246762	169.8503432	229.7810389	91.41953422	99.53172502	60.25821518	887.1936433	104.8788285	1272.153106	33369.04787
FDSW202612052-1r_S20201215-0010_X052_bin.34.filtered	0	0.757139503	6.842368346	1.363897672	0	19.05479256	8.35945487	0.440840265	0.08675533	0.027584797	0.247147868	0.294943471	0	1.578883462	0.736154177	3.145943016	1.641020073	0.369582528	0.461547125	0.450291809	0	1.751845351	0	0.067964898	0.010958761	0.022536287	0	0.057642782	0.060226306	9.502356828	1.855865195	5.640204911	0.072561522	3.549235204	1.172297039	0.676433614	3.085356763	3.556873613	0.098623952	6.901971471	2.932641706	10.39067199	45.09774207	8.948776875	4.16771025	5.297453485	10.02083771	8.937028977	0.610573874	0.382768876	1.271915201	3.202352992	12.5364112	0.347937124	20.82006201	17.35294485	8.605947771	15.08998025	9.144966914	40.01230132	0.813487123	36.54142139	10.58729111	3.942922829	14.17715529	72.44924438	7.830942251	1.437960821	1.35767612	0.770946273	155.3711414	0.951440618	9.879979118	13.8006621	11.98868153	0.022076203	3.481767065	4.590959773	6.016645269	24.54011109	0.043221568	110.9255898	70.037018	50.71983261	8.24784365	14.51960532	0.38896724	6.091044127	16.65463048
